NAME,ADDRESS,CITY,STATE,COUNTY
BRIMFIELD GRADE SCHOOL,PO BOX 380,BRIMFIELD,IL,PEORIA
PEORIA REGIONAL HIGH SCHOOL,3826 N TAYLOR RD,HANNA CITY,IL,PEORIA
PEORIA HEIGHTS GRADE SCHOOL,500 E GLEN AVE,PEORIA HEIGHTS,IL,PEORIA
THOMAS JEFFERSON PRIMARY SCHOOL,918 W FLORENCE AVE,PEORIA,IL,PEORIA
PRINCEVILLE ELEM SCHOOL,602 N TOWN AVE,PRINCEVILLE,IL,PEORIA
FARMINGTON CENTRAL JR HIGH SCH,300 N LIGHTFOOT RD,FARMINGTON,IL,PEORIA
HICKORY GROVE ELEMENTARY SCHOOL,2514 W HICKORY GROVE,DUNLAP,IL,PEORIA
PEORIA HIGH SCHOOL,1615 N NORTH ST,PEORIA,IL,PEORIA
WOODRUFF CAREER & TECH CENTER,1800 NE PERRY AVE,PEORIA,IL,PEORIA
MOSSVILLE ELEMENTARY SCHOOL,PO BOX 178,MOSSVILLE,IL,PEORIA
MANUAL ACADEMY,811 S GRISWOLD ST,PEORIA,IL,PEORIA
RIDGEVIEW ELEMENTARY SCHOOL,3903 W RIDGEVIEW DR,PEORIA,IL,PEORIA
NORTH MINISTER LEARNING CENTER,10720 N KNOXVILLE AVE,PEORIA,IL,PEORIA
PEORIA CHRISTIAN SCHOOL - MONROE,3725 N MONROE AVE,PEORIA HEIGHTS,IL,PEORIA
123 YOU N ME PRESCHOOL,809 W DETWEILLER DR STE A,PEORIA,IL,PEORIA
ALETHEIA SCHOOL,7229 N KNOXVILLE AVE,PEORIA,IL,PEORIA
CHRIST LUTHERAN SCHOOL,1311 S FARADAY AVE,PEORIA,IL,PEORIA
CONCORDIA LUTHERAN SCHOOL,2000 W GLEN AVE,PEORIA,IL,PEORIA
EL VISTA BAPTIST ACADEMY,6301 N SYLER ST,PEORIA,IL,PEORIA
HOLY FAMILY PARISH SCHOOL,2329 W RESERVOIR BLVD,PEORIA,IL,PEORIA
KIEFER SCHOOL,404 NE MADISON AVE,PEORIA,IL,PEORIA
METHODIST FAMILY CHILD CARE,415 NE SAINT MARK CT STE 1,PEORIA,IL,PEORIA
NEW LIFE CHRISTIAN ACADEMY,3510 W MALONE ST,PEORIA,IL,PEORIA
PEORIA ACADEMY,2711 W WILLOW KNOLLS DR,PEORIA,IL,PEORIA
PEORIA HEBREW DAY SCHOOL,5614 N UNIVERSITY ST,PEORIA,IL,PEORIA
PEORIA NOTRE DAME HIGH SCHOOL,5105 N. SHERIDAN RD.,PEORIA,IL,PEORIA
ST EDWARD SCHOOL,1221 N 5TH ST,CHILLICOTHE,IL,PEORIA
ST MARK SCHOOL,711 N UNDERHILL ST,PEORIA,IL,PEORIA
ST PHILOMENA SCHOOL,3216 N EMERY AVE,PEORIA,IL,PEORIA
ST THOMAS ELEMENTARY SCHOOL,4229 N MONROE AVE,PEORIA HEIGHTS,IL,PEORIA
ST VINCENT DE PAUL,6001 N. UNIVERSITY ST.,PEORIA,IL,PEORIA
CALVARY BAPTIST ACADEMY,1028 W CLOVERDALE RD,CHILLICOTHE,IL,PEORIA
